date,app,service,region,usage_kwh,cost_usd
2026-05-01,Support-Bot,Compute,ap-south,14.803,111.36
2026-05-02,Support-Bot,Compute,ap-south,12.977,89.81
2026-05-03,Support-Bot,Compute,ap-south,14.45,110.44
2026-05-04,Support-Bot,Compute,ap-south,13.165,83.52
2026-05-05,Support-Bot,Compute,ap-south,10.95,113.79
2026-05-06,Support-Bot,Compute,ap-south,10.845,113.26
2026-05-07,Support-Bot,Compute,ap-south,11.767,88.05
2026-05-08,Support-Bot,Compute,ap-south,14.778,111.59
2026-05-09,Support-Bot,Compute,ap-south,14.254,97.48
2026-05-10,Support-Bot,Compute,ap-south,14.583,91.33
2026-05-11,Support-Bot,Compute,ap-south,14.778,110.75
2026-05-12,Support-Bot,Compute,ap-south,11.266,88.26
2026-05-13,Support-Bot,Compute,ap-south,11.467,80.18
2026-05-14,Support-Bot,Compute,ap-south,10.719,86.89
2026-05-15,Support-Bot,Compute,ap-south,14.172,92.25
2026-05-16,Support-Bot,Compute,ap-south,14.702,113.49
2026-05-17,Support-Bot,Compute,ap-south,12.267,117.55
2026-05-18,Support-Bot,Compute,ap-south,13.359,90.3
2026-05-19,Support-Bot,Compute,ap-south,10.983,104.65
2026-05-20,Support-Bot,Compute,ap-south,14.936,95.07
2026-05-21,Support-Bot,Compute,ap-south,14.603,118.11
2026-05-22,Support-Bot,Compute,ap-south,15.172,100.48
2026-05-23,Support-Bot,Compute,ap-south,14.328,116.45
2026-05-24,Support-Bot,Compute,ap-south,14.689,83.81
2026-05-25,Support-Bot,Compute,ap-south,10.322,117.69
2026-05-26,Support-Bot,Compute,ap-south,13.95,86.31
2026-05-27,Support-Bot,Compute,ap-south,11.889,117.38
2026-05-28,Support-Bot,Compute,ap-south,14.94,89.76
2026-05-29,Support-Bot,Compute,ap-south,14.285,83.53
2026-05-30,Support-Bot,Compute,ap-south,14.6,96.46
2026-05-01,Search-RAG,Storage,us-west,25.509,315.17
2026-05-02,Search-RAG,Storage,us-west,21.63,283.98
2026-05-03,Search-RAG,Storage,us-west,24.365,249.83
2026-05-04,Search-RAG,Storage,us-west,23.479,276.64
2026-05-05,Search-RAG,Storage,us-west,22.299,217.19
2026-05-06,Search-RAG,Storage,us-west,24.088,248.3
2026-05-07,Search-RAG,Storage,us-west,21.079,263.83
2026-05-08,Search-RAG,Storage,us-west,25.324,280.12
2026-05-09,Search-RAG,Storage,us-west,18.714,288.24
2026-05-10,Search-RAG,Storage,us-west,27.351,267.64
2026-05-11,Search-RAG,Storage,us-west,23.732,265.16
2026-05-12,Search-RAG,Storage,us-west,25.424,240.35
2026-05-13,Search-RAG,Storage,us-west,25.634,268.53
2026-05-14,Search-RAG,Storage,us-west,24.968,315.0
2026-05-15,Search-RAG,Storage,us-west,22.103,303.58
2026-05-16,Search-RAG,Storage,us-west,19.352,235.58
2026-05-17,Search-RAG,Storage,us-west,24.908,226.36
2026-05-18,Search-RAG,Storage,us-west,21.785,273.12
2026-05-19,Search-RAG,Storage,us-west,21.633,285.87
2026-05-20,Search-RAG,Storage,us-west,26.626,253.54
2026-05-21,Search-RAG,Storage,us-west,25.427,306.01
2026-05-22,Search-RAG,Storage,us-west,21.506,298.71
