date,app,model,provider,region,input_tokens,output_tokens,total_tokens,cost_usd,trace_count
2026-05-01,Support-Bot,large,anthropic,ap-south,17424189,11616126,29040315,871.21,803
2026-05-02,Support-Bot,large,anthropic,ap-south,13368119,8912079,22280198,668.41,644
2026-05-03,Support-Bot,large,anthropic,ap-south,15018617,10012412,25031029,750.93,815
2026-05-04,Support-Bot,large,anthropic,ap-south,14676537,9784358,24460895,733.83,620
2026-05-05,Support-Bot,large,anthropic,ap-south,18064828,12043219,30108047,903.24,1092
2026-05-06,Support-Bot,large,anthropic,ap-south,17670245,11780163,29450408,883.51,949
2026-05-07,Support-Bot,large,anthropic,ap-south,19092738,12728492,31821230,954.64,870
2026-05-08,Support-Bot,large,anthropic,ap-south,13776937,9184625,22961562,688.85,709
2026-05-09,Support-Bot,large,anthropic,ap-south,15988329,10658886,26647215,799.42,716
2026-05-10,Support-Bot,large,anthropic,ap-south,13399717,8933144,22332861,669.99,708
2026-05-11,Support-Bot,large,anthropic,ap-south,14646350,9764233,24410583,732.32,716
2026-05-12,Support-Bot,large,anthropic,ap-south,16539115,11026077,27565192,826.96,1318
2026-05-13,Support-Bot,large,anthropic,ap-south,13378187,8918792,22296979,668.91,908
2026-05-14,Support-Bot,large,anthropic,ap-south,14515637,9677092,24192729,725.78,938
2026-05-15,Support-Bot,large,anthropic,ap-south,17493225,11662150,29155375,874.66,1350
2026-05-16,Support-Bot,large,anthropic,ap-south,16800444,11200296,28000740,840.02,1136
2026-05-17,Support-Bot,large,anthropic,ap-south,14658250,9772166,24430416,732.91,1109
2026-05-18,Support-Bot,large,anthropic,ap-south,17093050,11395367,28488417,854.65,1115
2026-05-19,Support-Bot,large,anthropic,ap-south,18546469,12364313,30910782,927.32,945
2026-05-20,Support-Bot,large,anthropic,ap-south,13245911,8830608,22076519,662.3,809
2026-05-21,Support-Bot,large,anthropic,ap-south,18522629,12348420,30871049,926.13,1127
2026-05-22,Support-Bot,large,anthropic,ap-south,17811781,11874520,29686301,890.59,1227
2026-05-23,Support-Bot,large,anthropic,ap-south,15449176,10299450,25748626,772.46,1016
2026-05-24,Support-Bot,large,anthropic,ap-south,14229409,9486272,23715681,711.47,612
2026-05-25,Support-Bot,large,anthropic,ap-south,19522057,13014704,32536761,976.1,987
2026-05-26,Support-Bot,large,anthropic,ap-south,15425041,10283360,25708401,771.25,799
2026-05-27,Support-Bot,large,anthropic,ap-south,13815272,9210181,23025453,690.76,983
2026-05-28,Support-Bot,large,anthropic,ap-south,13841483,9227656,23069139,692.07,667
2026-05-29,Support-Bot,large,anthropic,ap-south,18797748,12531832,31329580,939.89,1346
2026-05-30,Support-Bot,large,anthropic,ap-south,17188510,11459007,28647517,859.43,1038
2026-05-01,Search-RAG,small,anthropic,us-west,9542869,6361912,15904781,15.9,717
2026-05-02,Search-RAG,small,anthropic,us-west,8427153,5618102,14045255,14.05,432
2026-05-03,Search-RAG,small,anthropic,us-west,8162049,5441366,13603415,13.6,380
2026-05-04,Search-RAG,small,anthropic,us-west,8569567,5713045,14282612,14.28,502
2026-05-05,Search-RAG,small,anthropic,us-west,9074678,6049786,15124464,15.12,711
2026-05-06,Search-RAG,small,anthropic,us-west,8861279,5907520,14768799,14.77,534
2026-05-07,Search-RAG,small,anthropic,us-west,7115353,4743568,11858921,11.86,297
2026-05-08,Search-RAG,small,anthropic,us-west,6486675,4324450,10811125,10.81,354
2026-05-09,Search-RAG,small,anthropic,us-west,7391167,4927444,12318611,12.32,312
2026-05-10,Search-RAG,small,anthropic,us-west,7238864,4825910,12064774,12.06,324
2026-05-11,Search-RAG,small,anthropic,us-west,7057687,4705124,11762811,11.76,581
2026-05-12,Search-RAG,small,anthropic,us-west,9394073,6262715,15656788,15.66,455
2026-05-13,Search-RAG,small,anthropic,us-west,9181664,6121109,15302773,15.3,455
2026-05-14,Search-RAG,small,anthropic,us-west,7388692,4925795,12314487,12.31,401
